# Three-point probabilities for autosomes in 4-way RILs by sibling mating
# Note that these are for the minimal set of states.
# These are for the case of no crossover interference.
#
#
rf,coi,AAA,AAB,ABA,AAC,ACA,ABC,ACB
1.62100826714216e-05,1,0.999805511059493,0.000064825828563,0.000000002416620,0.000129649976122,0.000000006514275,0.000000003362674,0.000000000840823
3.24233188509176e-05,1,0.999611048384614,0.000129635267675,0.000000009665287,0.000259263812678,0.000000026053270,0.000000013451153,0.000000003364230
6.48592554157478e-05,1,0.999222201801953,0.000259204991762,0.000000038650780,0.000518383104145,0.000000104180991,0.000000053805777,0.000000013463183
0.000129769011160135,1,0.998444823520549,0.000518147928484,0.000000154519541,0.001036188430073,0.000000416466218,0.000000215230270,0.000000053901635
0.000259740259740260,1,0.996891324997518,0.001035248596826,0.000000617410499,0.002070068209360,0.000001663805316,0.000000860978726,0.000000215997209
0.0004995004995005,1,0.994036272696186,0.001984312005010,0.000002272254448,0.003967046981471,0.000006121537533,0.000003175356550,0.000000799163984
0.000520291363163372,1,0.993789348187545,0.002066315796165,0.000002464311370,0.004130921434744,0.000006638780437,0.000003444375636,0.000000867109007
0.00104384133611691,1,0.987605380863118,0.004115966693267,0.000009814810792,0.008225138794106,0.000026424214202,0.000013781274084,0.000003493340824
0.00157068062827225,1,0.981447883667507,0.006149072775275,0.000021988481701,0.012282960713328,0.000059161800599,0.000031016646892,0.000007915904833
0.00210084033613445,1,0.975316645721034,0.008165752063053,0.000038923142404,0.016304690928142,0.000104659482916,0.000055156833707,0.000014171817866
0.00263435194942044,1,0.969211459565763,0.010166120550281,0.000060557432164,0.020290628360400,0.000162727604792,0.000086208562251,0.000022297911069
0.00317124735729387,1,0.963132121108596,0.012150292235861,0.000086830796269,0.024241067198242,0.000233178866110,0.000124178944461,0.000032330835545
0.00371155885471898,1,0.957078429566308,0.014118379155173,0.000117683471206,0.028156296973470,0.000315828279202,0.000169075471785,0.000044307067484
0.00425531914893617,1,0.951050187410069,0.016070491412115,0.000153056470890,0.032036602639112,0.000410493126841,0.000220906012456,0.000058262913659
0.0048025613660619,1,0.945047200313878,0.018006737209608,0.000192891572712,0.035882264644129,0.000516992920468,0.000279678807836,0.000074234516364
0.00535331905781585,1,0.939069277101184,0.019927222880142,0.000237131304304,0.039693559008577,0.000635149360314,0.000345402470475,0.000092257859383
0.00590762620837809,1,0.933116229695712,0.021832052914917,0.000285718930143,0.043470757394865,0.000764786295312,0.000418085980348,0.000112368772722
0.00646551724137931,1,0.927187873069871,0.023721329992687,0.000338598438663,0.047214127178466,0.000905729684268,0.000497738682014,0.000134602937569
0.00702702702702703,1,0.921284025197969,0.025595155007956,0.000395714529461,0.050923931517098,0.001057807557713,0.000584370281597,0.000158995891412
0.00759219088937093,1,0.915404507006994,0.027453627098653,0.000457012601041,0.054600429418598,0.001220849980729,0.000677990844409,0.000185583032861
0.00816104461371056,1,0.909549142330717,0.029296843673042,0.000522438738563,0.058243875806892,0.001394689016211,0.000778610791845,0.000214399626316
0.00873362445414847,1,0.903717757864050,0.031124900436148,0.000591939701941,0.061854521586924,0.001579158689194,0.000886240898941,0.000245480806767
0.00930996714129244,1,0.897910183118751,0.032937891415683,0.000665462914164,0.065432613708078,0.001774094951551,0.001000892291657,0.000278861584166
0.0098901098901099,1,0.892126250378687,0.034735908987392,0.000742956449985,0.068978395226690,0.001979335648000,0.001122576444934,0.000314576848401
0.0104740904079383,1,0.886365794657587,0.036519043899743,0.000824369024638,0.072492105366530,0.002194720482178,0.001251305179903,0.000352661373458
0.0110619469026549,1,0.880628653657385,0.038287385298185,0.000909649982888,0.075973979578456,0.002420090983632,0.001387090661574,0.000393149821825
0.01165371809101,1,0.874914667726575,0.040041020748906,0.000998749288280,0.079424249598759,0.002655290475533,0.001529945396626,0.000436076748790
0.0122494432071269,1,0.869223679821359,0.041780036262143,0.001091617512681,0.082843143506517,0.002900164043072,0.001679882231406,0.000481476606812
0.0128491620111732,1,0.863555535463774,0.043504516314673,0.001188205825836,0.086230885778895,0.003154558502052,0.001836914349246,0.000529383749384
0.0134529147982063,1,0.857910082706058,0.045214543872385,0.001288465985427,0.089587697346647,0.003418322368887,0.002001055269099,0.000579832435470
0.0140607424071991,1,0.852287172090886,0.046910200411872,0.001392350327065,0.092913795647298,0.003691305830469,0.002172318843111,0.000632856833315
0.0146726862302483,1,0.846686656615756,0.048591565941849,0.001499811754645,0.096209394677858,0.003973360715049,0.002350719254824,0.000688491024468
0.0152887882219706,1,0.841108391695523,0.050258719023983,0.001610803730784,0.099474705046041,0.004264340463399,0.002536271017096,0.000746769007563
0.0159090909090909,1,0.835552235128495,0.051911736793455,0.001725280267623,0.102709934021063,0.004564100101047,0.002728988970817,0.000807724702467
0.0165336374002281,1,0.830018047059958,0.053550694978805,0.001843195917536,0.105915285582392,0.004872496210227,0.002928888282321,0.000871391953536
0.017162471395881,1,0.824505689950348,0.055175667921752,0.001964505764336,0.109090960468729,0.005189386903368,0.003135984442476,0.000937804533835
0.0177956371986223,1,0.819015028540183,0.056786728596201,0.002089165414420,0.112237156224830,0.005514631796320,0.003350293264546,0.001006996148476
0.0184331797235023,1,0.813545929817964,0.058383948627116,0.002217130988206,0.115354067248110,0.005848091982442,0.003571830882764,0.001079000438313
0.0190751445086705,1,0.808098262988991,0.059967398308939,0.002348359111695,0.118441884833985,0.006189630007183,0.003800613750620,0.001153850983359
0.0197215777262181,1,0.802671899443520,0.061537146623609,0.002482806908257,0.121500797220492,0.006539109843162,0.004036658639634,0.001231581306447
