# Three-point probabilities for autosomes in 4-way RILs by sibling mating
# Note that these are for the minimal set of states.
# These are for the case of strong positive crossover interference
#     (the gamma model with nu=11.3)
#
rf,coi,AAA,AAB,ABA,AAC,ACA,ABC,ACB
0.00371155885471898,0,0.957002668925226,0.014169182906538,0.000092128617909,0.028257014504401,0.000265608544571,0.000169381427224,0.000044015059315
0.00408163265306122,0,0.952877939497790,0.015510988656903,0.000110614526729,0.030924367399308,0.000318838967991,0.000204037262821,0.000053213674154
0.00425531914893617,0,0.950951832831612,0.016136501965254,0.000119822841862,0.032167301242912,0.000345348371337,0.000221362717489,0.000057830014933
0.00460593654042989,0,0.947082458898706,0.017391047506714,0.000139428852476,0.034659174129943,0.000401778588421,0.000258381633927,0.000067730375200
0.0048025613660619,0,0.944923470123973,0.018089848865237,0.000151010595484,0.036046613368199,0.000435105553205,0.000280329106819,0.000073622372252
0.00513347022587269,0,0.941307613613701,0.019258270903641,0.000171436985748,0.038365545685619,0.000493870093130,0.000319173842873,0.000084088860599
0.00535331905781585,0,0.938917440791420,0.020029300413927,0.000185646477830,0.039895154094741,0.000534739688733,0.000346294590014,0.000091423928449
0.00566426364572606,0,0.935553280888315,0.021112726127743,0.000206598987917,0.042043660294610,0.000594989936691,0.000386426486812,0.000102317263005
0.00590762620837809,1.87930479259277e-14,0.932933606962247,0.021954932135067,0.000223685539426,0.043713123641856,0.000644111707106,0.000419273542211,0.000111266457018
0.00619834710743802,5.37347943918576e-14,0.929819339772388,0.022954479376366,0.000244875300196,0.045693693660369,0.000705015692750,0.000460152485843,0.000122443696803
0.00646551724137931,8.58572472376788e-14,0.926971832876129,0.023866818284773,0.000265083274741,0.047500719274003,0.000763083845027,0.000499280718235,0.000133181711407
0.00673575129533679,1.64825418271273e-13,0.924105671096409,0.024783595777031,0.000286226737598,0.049315818993918,0.000823826035346,0.000540365082535,0.000144496261259
0.00702702702702703,2.21190587213781e-13,0.921031984856738,0.025765031867267,0.000309795614822,0.051258135340240,0.000891519623963,0.000586331251965,0.000157201428892
0.00727650727650728,3.66183274179223e-13,0.918412157450270,0.026600139400053,0.000330614482895,0.052910207045546,0.000951300720377,0.000627077841145,0.000168503043344
0.00759219088937093,5.55682484153814e-13,0.915113931284044,0.027649644650093,0.000357778919878,0.054985563312485,0.001029283827455,0.000680440655372,0.000183357333882
0.0078206465067779,7.38194690560097e-13,0.912738683160849,0.028404173270948,0.000378000080696,0.056477026135954,0.001087320567341,0.000720304647197,0.000194492120655
0.00816104461371056,1.11552248919603e-12,0.909217542569002,0.029520727179261,0.000408989972237,0.058683191823732,0.001176242479264,0.000781624818236,0.000211681141738
0.00836820083682008,1.43285383558123e-12,0.907085134271108,0.030195759382312,0.000428345431534,0.060016442186429,0.001231767441262,0.000820059706449,0.000222491564131
0.00873362445414847,2.2118973319607e-12,0.903342691126499,0.031378348793731,0.000463385969110,0.062351206704481,0.001332262821183,0.000889900006981,0.000242204561982
0.00891920251836306,2.70112037312361e-12,0.901451398518857,0.031974958706274,0.000481612786432,0.063528618749842,0.001384524235550,0.000926357545558,0.000252529441407
0.00930996714129244,4.13801019593554e-12,0.897489251351011,0.033222577639959,0.000520924515678,0.065989791019418,0.001497213291805,0.001005282864319,0.000274959301888
0.00947368421052632,4.93370776332035e-12,0.895837365316080,0.033741831205456,0.000537764740835,0.067013717038702,0.001545474853828,0.001039213010095,0.000284633818919
0.0098901098901099,7.5772721430667e-12,0.891657099590779,0.035053480686126,0.000581563618437,0.069599125103436,0.001670963505638,0.001127790409301,0.000309977070218
0.0100316789862724,8.68772889885493e-12,0.890242925729168,0.035496435845067,0.000596764229498,0.070471895955467,0.001714504193615,0.001158641265720,0.000318832765500
0.0104740904079383,1.33344329730047e-11,0.885846114124557,0.036871123735864,0.000645261678320,0.073179386596187,0.001853384232118,0.001257440036491,0.000347289580460
0.0105932203389830,1.49137591165527e-11,0.884667972458855,0.037238830603737,0.000658574520788,0.073903312119987,0.001891498129010,0.001284657797013,0.000355154354759
0.0110619469026549,2.28830288051540e-11,0.880056175136454,0.038675571441751,0.000711977484137,0.076730750476474,0.002044347375234,0.001394249515651,0.000386928554305
0.0111583421891605,2.49240310929671e-11,0.879112399820741,0.038969072484603,0.000723159211383,0.077308119897747,0.002076343494161,0.001417278407393,0.000393626667960
0.011727078891258,4.07088504320282e-11,0.873576103726451,0.040687217526187,0.000790482221021,0.080686471427266,0.002268928067103,0.001556519219102,0.000434277797012
0.0122494432071269,6.25378536834763e-11,0.868538966720852,0.042245133756777,0.000854299389306,0.083747472212341,0.002451394079775,0.001689420983596,0.000473312841213
0.0122994652406417,6.50637032173978e-11,0.868058981664715,0.042393320812766,0.000860507787199,0.084038516646599,0.002469140553282,0.001702396672576,0.000477135846842
0.0128491620111732,9.99525100368096e-11,0.862811466982616,0.044010372034213,0.000929824947702,0.087213167021266,0.002667226942491,0.001847820385962,0.000520121669429
0.0128755364806867,1.02006921428218e-10,0.862560932683218,0.044087436484933,0.000933200460183,0.087364403320094,0.002676870570065,0.001854927526875,0.000522228938578
0.0134529147982063,1.56750982564328e-10,0.857104553056325,0.045762662329619,0.001008207157668,0.090650638188675,0.002891100785822,0.002013454467277,0.000569383998372
0.0134553283100108,1.57044661719397e-10,0.857081857369986,0.045769617749603,0.001008525097891,0.090664277064007,0.002892008630900,0.002014128859262,0.000569585212048
0.0140607424071991,2.41456810101681e-10,0.851418114312493,0.047502063734251,0.001089406652022,0.094060047881478,0.003122892890972,0.002186342870575,0.000621131641783
0.0146726862302483,3.65822261372273e-10,0.845752041894208,0.049228634264089,0.001173384414049,0.097441555798526,0.003362481557684,0.002366505613547,0.000675396441936
0.0152887882219706,5.45838773357298e-10,0.840106228694940,0.050942430871305,0.001260101771503,0.100795319200020,0.003609746085532,0.002553963088051,0.000732210272718
0.0159090909090909,8.02993227466686e-10,0.834480569338821,0.052643509456045,0.001349520391033,0.104121492937691,0.003864566756426,0.002748736061226,0.000791605043390
0.0165336374002281,1.16579331628843e-09,0.828874960160503,0.054331924877274,0.001441602272159,0.107420229482713,0.004126824816096,0.002950845674454,0.000853612701290
0.017162471395881,1.67185472873162e-09,0.823289299186141,0.056007730964132,0.001536309741961,0.110691678954929,0.004396402457203,0.003160313444724,0.000918265235671
